codex_id,categ_id,type,state,name
8350,90,product,sellable,"CK 1/2KG AVIAN 310"
105,90,product,sellable,"CK 1/2KG AVIAN 328"
2121,90,product,sellable,"CK 1/2KG AVIAN 329"
2116,90,product,sellable,"CK 1/2KG AVIAN 366"
106,90,product,sellable,"CK 1/2KG AVIAN 370"
107,90,product,sellable,"CK 1/2KG AVIAN 371"
108,90,product,sellable,"CK 1/2KG AVIAN 461"
2118,90,product,sellable,"CK 1/2KG AVIAN 462"
110,90,product,sellable,"CK 1/2KG AVIAN 465"
111,90,product,sellable,"CK 1/2KG AVIAN 466"
2120,90,product,sellable,"CK 1/2KG AVIAN 468"
112,90,product,sellable,"CK 1/2KG AVIAN 631"
113,90,product,sellable,"CK 1/2KG AVIAN 640"
115,90,product,sellable,"CK 1/2KG AVIAN 645"
116,90,product,sellable,"CK 1/2KG AVIAN 646"
117,90,product,sellable,"CK 1/2KG AVIAN 648"
118,90,product,sellable,"CK 1/2KG AVIAN 650"
119,90,product,sellable,"CK 1/2KG AVIAN 651"
120,90,product,sellable,"CK 1/2KG AVIAN 652"
2119,90,product,sellable,"CK 1/2KG AVIAN 653"
2124,90,product,sellable,"CK 1/2KG AVIAN 656"
121,90,product,sellable,"CK 1/2KG AVIAN 730"
122,90,product,sellable,"CK 1/2KG AVIAN 731"
123,90,product,sellable,"CK 1/2KG AVIAN 732"
124,90,product,sellable,"CK 1/2KG AVIAN 733"
125,90,product,sellable,"CK 1/2KG AVIAN 734"
126,90,product,sellable,"CK 1/2KG AVIAN 735"
3479,90,product,sellable,"CK 1/2KG AVIAN 736"
2123,90,product,sellable,"CK 1/2KG AVIAN 737"
127,90,product,sellable,"CK 1/2KG AVIAN 738"
1303,90,product,sellable,"CK 1/2KG AVIAN 739"
128,90,product,sellable,"CK 1/2KG AVIAN 742"
129,90,product,sellable,"CK 1/2KG AVIAN 911"
130,90,product,sellable,"CK 1/2KG AVIAN 914"
131,90,product,sellable,"CK 1/2KG AVIAN 915"
91,90,product,sellable,"CK 1/2KG AVIAN ALLUMINIUM"
132,90,product,sellable,"CK 1/2KG AVIAN BLACK"
92,90,product,sellable,"CK 1/2KG AVIAN VERNIS"
133,90,product,sellable,"CK 1/2KG AVIAN WHITE"
3366,134,product,sellable,"CK 1/4KG AVIAN 189"
2600,134,product,sellable,"CK 1/4KG AVIAN 190"
2501,134,product,sellable,"CK 1/4KG AVIAN 192"
3175,134,product,sellable,"CK 1/4KG AVIAN 193"
2680,134,product,sellable,"CK 1/4KG AVIAN 197"
3742,134,product,sellable,"CK 1/4KG AVIAN 198"
2413,134,product,sellable,"CK 1/4KG AVIAN 301"
137,134,product,sellable,"CK 1/4KG AVIAN 303"
2626,134,product,sellable,"CK 1/4KG AVIAN 306"
2411,134,product,sellable,"CK 1/4KG AVIAN 465"
2410,134,product,sellable,"CK 1/4KG AVIAN 466"
3096,134,product,sellable,"CK 1/4KG AVIAN 645"
2531,134,product,sellable,"CK 1/4KG AVIAN 650"
2409,134,product,sellable,"CK 1/4KG AVIAN 732"
2408,134,product,sellable,"CK 1/4KG AVIAN 733"
2500,134,product,sellable,"CK 1/4KG AVIAN 911"
2412,134,product,sellable,"CK 1/4KG AVIAN BLACK"
139,134,product,sellable,"CK 1/4KG AVIAN WHITE"
4568,140,product,sellable,"CK 100CC AVIAN 190"
3934,140,product,sellable,"CK 100CC AVIAN 192"
3949,140,product,sellable,"CK 100CC AVIAN 193"
